Player,Year,Split,Record:,Win Rate:,KDA:,CS per Minute:,Gold Per Minute:,Gold%:,Kill Participation:
Zhuo,2022,Spring,5W - 8L,38.5%,2.6,1.1,226,12.8%,69.6%
Zika,2022,Spring,11W - 19L,36.7%,2.7,8.5,413,22.7%,53.1%
Zoom,2022,Spring,5W - 8L,38.5%,3.0,8.3,378,21.4%,52.6%
Zorah,2022,Spring,4W - 4L,50%,1.9,1,232,12.7%,72.8%
beishang,2022,Spring,12W - 13L,48%,3.4,4.9,311,17.6%,68.2%
cold,2022,Spring,20W - 21L,48.8%,2.3,1.1,235,13.2%,63.7%
fearness,2022,Spring,13W - 25L,34.2%,2.4,7.8,375,21.7%,61.8%
huanfeng,2022,Spring,23W - 16L,59%,4.8,10.4,464,25.3%,60.8%
iBOY,2022,Spring,20W - 18L,52.6%,2.8,9.6,429,23.5%,57.6%
invincible,2022,Spring,2W - 1L,66.7%,3.1,8.8,392,21.5%,56.3%
jinjiao,2022,Spring,13W - 29L,31%,1.9,1.2,231,13.4%,59.1%
meiko,2022,Spring,23W - 14L,62.2%,3.1,1.1,245,13.2%,67.8%
neny,2022,Spring,2W - 6L,25%,2.4,8.1,361,21.2%,63.9%
shanji,2022,Spring,20W - 21L,48.8%,2.4,7.6,377,21.1%,61.9%
xiaohu,2022,Spring,25W - 14L,64.1%,6.0,8.8,430,22.9%,67.4%
xiaoxiang,2022,Spring,8W - 4L,66.7%,3.7,7.8,393,20.7%,55.8%
xiaoyueji,2022,Spring,2W - 6L,25%,1.5,8.8,395,23%,54.5%
xiye,2022,Spring,9W - 9L,50%,4.8,7.8,396,22.4%,80%
yuyanjia,2022,Spring,16W - 14L,53.3%,2.6,1,229,12.5%,63.1%
zs,2022,Spring,9W - 15L,37.5%,2.4,7.6,361,20.5%,50.3%
369,2021,Summer,7W - 3L,70%,3.1,7.9,394,20.3%,48.6%
AKi,2021,Summer,19W - 18L,51.4%,4.2,5.8,334,19.1%,68.4%
Able,2021,Summer,19W - 18L,51.4%,3.5,9.4,430,24.6%,63.1%
Aiming,2021,Summer,24W - 17L,58.5%,4.7,9.5,439,24%,69.5%
Ale,2021,Summer,25W - 18L,58.1%,3.3,8.1,402,22.4%,62.2%
Aliez,2021,Summer,2W - 20L,9.1%,1.4,7.4,341,21.4%,57.3%
Angel,2021,Summer,24W - 18L,57.1%,5.3,7.9,384,21.1%,67.5%
Baolan,2021,Summer,2W - 2L,50%,2.1,1.3,222,13.1%,78.8%
Betty,2021,Summer,13W - 17L,43.3%,4.2,8.7,401,23%,75.2%
Bin,2021,Summer,24W - 18L,57.1%,3.4,8.6,411,22.7%,59.1%
Biubiu,2021,Summer,24W - 17L,58.5%,3.1,8,391,21.3%,61%
Breathe,2021,Summer,23W - 17L,57.5%,3.5,8.2,411,22.8%,66.5%
Captain,2021,Summer,0W - 2L,0%,1.0,7.5,335,20.6%,45.6%
ClearLove,2021,Summer,0W - 1L,0%,1.8,4.8,308,18.6%,90%
