Player,Year,Split,Record:,Win Rate:,KDA:,CS per Minute:,Gold Per Minute:,Gold%:,Kill Participation:
Santorin,2023,Spring,3W - 15L,16.7%,2.1,4.9,290,17.9%,71.8%
Spawn,2023,Spring,0W - 9L,0%,0.5,8.6,348,22.1%,35.6%
Spica,2023,Spring,14W - 5L,73.7%,4.7,5.8,349,18.7%,73.4%
Stixxay,2023,Spring,9W - 9L,50%,4.0,9.4,441,24.6%,66.5%
Summit,2023,Spring,8W - 10L,44.4%,2.1,8.3,394,22.1%,53.1%
Tactical,2023,Spring,4W - 14L,22.2%,2.4,9.2,400,24.2%,66.3%
Tenacity,2023,Spring,12W - 8L,60%,4.0,7.6,375,21%,59.1%
Tomo,2023,Spring,3W - 6L,33.3%,2.6,9.2,405,24.3%,70.1%
Vicla,2023,Spring,14W - 5L,73.7%,3.4,8.4,410,21.9%,68.9%
Vulcan,2023,Spring,10W - 9L,52.6%,4.8,0.7,238,13.3%,78.6%
WildTurtle,2023,Spring,3W - 4L,42.9%,4.0,9.6,439,25.3%,72.7%
Winsome,2023,Spring,8W - 1L,88.9%,5.5,0.9,260,13.5%,67.9%
Yeon,2023,Spring,8W - 10L,44.4%,3.5,9.4,421,23.5%,61.2%
Young,2023,Spring,0W - 2L,0%,1.1,8,364,21.6%,48.1%
Zven,2023,Spring,15W - 4L,78.9%,5.2,1,263,13.8%,74%
jojopyun,2023,Spring,9W - 9L,50%,2.5,8.5,402,22.4%,72.3%
solo,2023,Spring,7W - 9L,43.8%,2.2,7.6,356,20.7%,57.7%
ssumday,2023,Spring,10W - 9L,52.6%,4.1,8.1,389,21.7%,53.7%
Abbedagge,2022,Summer,14W - 4L,77.8%,5.5,9.2,417,22.6%,61.5%
Ablazeolive,2022,Summer,5W - 11L,31.3%,2.2,8.6,381,22.2%,68.5%
Aphromoo,2022,Summer,10W - 9L,52.6%,3.5,0.9,231,13.1%,68.6%
Berserker,2022,Summer,11W - 5L,68.8%,5.1,9,438,23.1%,63.4%
