Player,Year,Split,Record:,Win Rate:,KDA:,CS per Minute:,Gold Per Minute:,Gold%:,Kill Participation:
Dajor,2023,Winter,3W - 6L,33.3%,1.8,8,361,21.4%,50.7%
Doss,2023,Winter,6W - 3L,66.7%,10.0,0.4,251,13.8%,81.1%
Elyoya,2023,Winter,7W - 2L,77.8%,7.8,5.7,351,18.7%,69.6%
Evi,2023,Winter,4W - 5L,44.4%,2.1,6.9,372,20.2%,54.7%
Exakick,2023,Winter,6W - 3L,66.7%,5.3,10.5,484,26.7%,71.6%
Execute,2023,Winter,3W - 6L,33.3%,2.5,0.6,235,13.9%,74.5%
Finn,2023,Winter,3W - 6L,33.3%,2.0,7.1,361,21.2%,51.1%
Hans sama,2023,Winter,6W - 3L,66.7%,5.2,8.8,464,23.2%,59%
Humanoid,2023,Winter,2W - 7L,22.2%,1.8,8.3,387,22.4%,68.3%
Hylissang,2023,Winter,7W - 2L,77.8%,4.4,0.6,250,13.3%,68.5%
Irrelevant,2023,Winter,6W - 3L,66.7%,2.6,7.2,367,20.4%,56.6%
Jackspektra,2023,Winter,4W - 5L,44.4%,2.4,9.1,455,24.5%,52.1%
Jankos,2023,Winter,4W - 5L,44.4%,3.5,5.6,359,19.4%,72.8%
Kaiser,2023,Winter,7W - 2L,77.8%,5.1,0.7,239,12.6%,73.7%
Kobbe,2023,Winter,3W - 6L,33.3%,3.2,9.1,427,25.3%,68.9%
Labrov,2023,Winter,5W - 4L,55.6%,4.5,0.8,240,13.3%,70.3%
Larssen,2023,Winter,4W - 5L,44.4%,2.9,9,401,23.3%,67.9%
Malrang,2023,Winter,4W - 5L,44.4%,2.5,4.3,291,16.9%,70.7%
Markoon,2023,Winter,6W - 3L,66.7%,3.9,4.9,323,17.9%,56.1%
Mersa,2023,Winter,4W - 5L,44.4%,4.8,0.9,253,13.7%,69.2%
Mikyx,2023,Winter,6W - 3L,66.7%,3.0,1.1,262,13.3%,64%
Neon,2023,Winter,7W - 2L,77.8%,4.6,9.1,431,22.9%,63.5%
Nisqy,2023,Winter,7W - 2L,77.8%,4.5,8.9,449,23.9%,73.8%
Odoamne,2023,Winter,1W - 8L,11.1%,1.3,7.4,357,21.1%,52.5%
Patrik,2023,Winter,1W - 8L,11.1%,1.8,8,395,23.2%,74%
Perkz,2023,Winter,7W - 2L,77.8%,3.7,9.1,442,23.3%,69.1%
Photon,2023,Winter,7W - 2L,77.8%,4.1,8.3,413,21.8%,58%
Razork,2023,Winter,2W - 7L,22.2%,1.8,5.5,339,19.6%,81.3%
Rekkles,2023,Winter,2W - 7L,22.2%,3.2,9.7,422,24.5%,54.1%
Rhuckz,2023,Winter,2W - 7L,22.2%,2.9,0.8,221,12.8%,74.1%
Ruby,2023,Winter,4W - 5L,44.4%,2.8,8.4,410,22.2%,66.9%
Sertuss,2023,Winter,6W - 3L,66.7%,5.5,7.9,383,21.3%,64.5%
Sheo,2023,Winter,5W - 4L,55.6%,4.9,5.2,329,18.1%,65.3%
Szygenda,2023,Winter,4W - 5L,44.4%,2.7,7.8,374,21.8%,60%
Targamas,2023,Winter,1W - 8L,11.1%,2.6,1.1,244,14.4%,73.3%
Trymbi,2023,Winter,4W - 5L,44.4%,3.3,0.7,232,13.4%,66.2%
Vetheo,2023,Winter,1W - 8L,11.1%,2.3,8.7,401,23.7%,69.1%
Wunder,2023,Winter,2W - 7L,22.2%,1.6,7.9,356,20.6%,43.7%
Xerxe,2023,Winter,1W - 8L,11.1%,2.3,4.9,298,17.6%,66.8%
Yike,2023,Winter,6W - 3L,66.7%,5.5,7.3,435,21.9%,68.5%
nuc,2023,Winter,5W - 4L,55.6%,4.5,8.2,392,21.7%,57.4%
Agresivoo,2022,Summer,3W - 15L,16.7%,1.9,8,349,21.7%,51.3%
