Year,Split,Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,HERPG,HER%,DRA@15,TD@15,GD@15,PPG,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
2022,Summer,G2 Esports,S12,EUW,18,66.7%,1.40,1875,150,33:50,16.2,11.6,7.4,5.3,44.4,44.4,2.61,52.3,1.00,50.0,0.67,-0.1,50,5.06,0.94,62.0,32.3,2291,3.1,1.04,1.63
2022,Summer,MAD Lions,S12,EUW,18,66.7%,1.30,1844,137,33:18,14.3,11.0,7.3,5.1,61.1,66.7,2.67,58.4,1.11,55.6,0.72,0.5,1493,5.78,0.94,81.3,32.3,2043,3.3,1.38,1.60
2022,Summer,Misfits Gaming,S12,EUW,19,57.9%,1.06,1798,2,32:45,14.0,13.2,6.6,6.2,47.4,26.3,2.16,48.2,1.05,52.6,0.68,-0.2,-969,4.37,0.68,49.1,31.8,2228,3.0,1.20,1.51
2022,Summer,Rogue,S12,EUW,18,61.1%,1.12,1834,74,34:06,12.7,11.4,7.4,5.1,50.0,61.1,2.33,49.2,0.89,44.4,0.56,0.3,555,5.17,0.89,51.5,32.7,2238,3.2,1.03,1.58
2022,Summer,SK Gaming,S12,EUW,18,38.9%,0.78,1706,-122,32:29,9.8,12.6,5.0,6.7,44.4,38.9,2.17,47.6,1.06,55.9,0.82,-0.2,-628,3.35,0.44,28.1,31.8,1800,3.2,1.20,1.48
2022,Summer,Team BDS,S12,EUW,18,16.7%,0.64,1618,-272,32:40,9.5,14.9,3.3,8.6,50.0,38.9,2.06,43.6,0.78,41.2,1.06,0.1,-1121,3.59,0.22,18.9,31.1,1900,3.1,1.31,1.58
2022,Summer,Team Vitality,S12,EUW,19,47.4%,1.01,1790,29,33:15,12.6,12.5,6.6,5.9,42.1,63.2,1.89,43.2,1.26,63.2,0.58,0.3,925,4.89,0.58,47.7,32.0,2243,3.3,1.18,1.44
2022,Spring,Astralis,S12,EUW,18,16.7%,0.76,1706,-192,33:54,11.9,15.7,4.2,8.4,61.1,33.3,1.78,37.9,0.44,22.2,0.50,-0.2,-978,3.44,0.56,31.5,31.6,1748,3.3,1.46,1.41
2022,Spring,Excel Esports,S12,EUW,18,50.0%,0.98,1779,-37,33:39,13.2,13.4,6.7,6.3,44.4,44.4,2.33,48.1,0.83,41.7,0.61,-0.1,-576,4.25,0.72,55.9,32.1,1862,3.6,1.49,1.41
2022,Spring,Fnatic,S12,EUW,18,72.2%,1.41,1908,207,31:38,15.0,10.6,7.7,4.3,38.9,83.3,2.89,66.9,1.33,69.4,1.22,0.4,1920,6.92,0.83,72.9,34.1,1997,3.4,1.17,1.50
