Team,Year,Split,Role,Player
DRX,2021,Summer,MID,Jett
DRX,2021,Summer,BOT,Taeyoon
DRX,2021,Summer,SUPPORT,Jun
DRX,2021,Summer,TOP,destroy
DRX,2021,Summer,MID,Quad
DRX,2021,Summer,MID,kingen
DRX,2021,Summer,BOT,BAO
DRX,2021,Summer,SUPPORT,Pleata
DWG KIA,2021,Summer,TOP,Khan
DWG KIA,2021,Summer,JUNGLE,Canyon
DWG KIA,2021,Summer,MID,ShowMaker
DWG KIA,2021,Summer,BOT,Ghost
DWG KIA,2021,Summer,SUPPORT,BeryL
DWG KIA,2021,Summer,JUNGLE,Malrang
DWG KIA,2021,Summer,MID,Canyon
DWG KIA,2021,Summer,BOT,BeryL
DWG KIA,2021,Summer,BOT,ShowMaker
DWG KIA,2021,Summer,SUPPORT,Ghost
Fredit BRION,2021,Summer,TOP,Hoya
Fredit BRION,2021,Summer,JUNGLE,UmTi
Fredit BRION,2021,Summer,MID,Lava
Fredit BRION,2021,Summer,BOT,Hena
Fredit BRION,2021,Summer,SUPPORT,Delight
Fredit BRION,2021,Summer,JUNGLE,Chieftain
Fredit BRION,2021,Summer,MID,Yaharong
Gen.G eSports,2021,Summer,TOP,Rascal
Gen.G eSports,2021,Summer,JUNGLE,Clid
Gen.G eSports,2021,Summer,MID,Bdd
Gen.G eSports,2021,Summer,BOT,Ruler
Gen.G eSports,2021,Summer,SUPPORT,Life
Gen.G eSports,2021,Summer,TOP,Burdol
Gen.G eSports,2021,Summer,JUNGLE,YoungJae
Hanwha Life eSports,2021,Summer,TOP,Morgan
Hanwha Life eSports,2021,Summer,JUNGLE,Willer
Hanwha Life eSports,2021,Summer,MID,Chovy
Hanwha Life eSports,2021,Summer,BOT,Deft
Hanwha Life eSports,2021,Summer,SUPPORT,Vsta
Hanwha Life eSports,2021,Summer,TOP,DuDu
Hanwha Life eSports,2021,Summer,JUNGLE,Yohan1
Hanwha Life eSports,2021,Summer,JUNGLE,Mir
Hanwha Life eSports,2021,Summer,BOT,Vsta
Hanwha Life eSports,2021,Summer,SUPPORT,Deft
KT Rolster,2021,Summer,TOP,Doran
KT Rolster,2021,Summer,JUNGLE,blank
KT Rolster,2021,Summer,MID,Dove
KT Rolster,2021,Summer,BOT,5Kid
KT Rolster,2021,Summer,SUPPORT,Zzus
KT Rolster,2021,Summer,JUNGLE,GIDEON
KT Rolster,2021,Summer,MID,Ucal
KT Rolster,2021,Summer,BOT,Noah
