,Side,Region,Year,Game ID,Team,Victory,Game Duration,Player,Role,Level,Kills,Deaths,Assists,KDA,CS,CS in Team's Jungle,CS in Enemy Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Shutdown bounty collected,Shutdown bounty lost
4,Blue Side,LCS,2024,57096,Team Liquid,True,31.367,CoreJJ,SUPPORT,12.0,0.0,1.0,9.0,9.0,32.0,0.0,,1.0,7611.0,243.0,0.13,119.0,61.0,16.0,17.0,16.0,3.79,1.94,0.54,0.51,0.442,3145.0,260.0,2561.0,324.0,100.0,0.059,0.29,0.75,0.0,0.0,0.0,0.0,0.0,-73.0,4.0,-296.0,0.0,0.0,396.0,396.0,3231.0,327.0,20799.0,0.0,31.0,56.0,15834.0,8.0,19.0,33.0,0.0,0.0
5,Red Side,LCS,2024,57096,Dignitas,False,31.367,Rich,TOP,17.0,3.0,2.0,2.0,2.5,282.0,12.0,,9.0,12733.0,406.0,0.242,38.0,11.0,12.0,3.0,3.0,1.21,0.35,0.1,0.38,0.154,21264.0,18446.0,2818.0,0.0,678.0,0.356,0.16,0.714,10.0,0.0,0.0,0.0,0.0,805.0,9.0,428.0,0.0,0.0,4325.0,4325.0,2910.0,0.0,11347.0,0.0,11.0,124.0,13833.0,48.0,4.0,17.0,200.0,350.0
6,Red Side,LCS,2024,57096,Dignitas,False,31.367,eXyu,JUNGLE,13.0,2.0,2.0,4.0,3.0,166.0,150.0,,5.3,9274.0,296.0,0.176,42.0,16.0,9.0,8.0,6.0,1.34,0.51,0.26,0.29,0.17,6602.0,5388.0,1072.0,142.0,210.0,0.11,0.19,0.857,0.0,1.0,0.0,0.0,0.0,795.0,5.0,137.0,0.0,0.0,522.0,522.0,17818.0,0.0,26819.0,526.0,10.0,559.0,29991.0,56.0,9.0,26.0,0.0,150.0
7,Red Side,LCS,2024,57096,Dignitas,False,31.367,Dove,MID,15.0,1.0,3.0,3.0,1.3,267.0,8.0,,8.5,11751.0,375.0,0.223,44.0,11.0,9.0,9.0,9.0,1.4,0.35,0.29,0.29,0.178,8696.0,227.0,8469.0,0.0,277.0,0.145,0.13,0.571,0.0,0.0,0.0,0.0,0.0,-804.0,-12.0,-289.0,0.0,0.0,3541.0,3541.0,1018.0,0.0,7875.0,0.0,16.0,403.0,11245.0,76.0,11.0,29.0,0.0,50.0
8,Red Side,LCS,2024,57096,Dignitas,False,31.367,Tomo,ADC,14.0,1.0,2.0,3.0,2.0,292.0,2.0,,9.3,12056.0,384.0,0.229,20.0,6.0,8.0,1.0,1.0,0.64,0.19,0.03,0.26,0.081,20120.0,5733.0,14357.0,30.0,641.0,0.336,0.13,0.571,0.0,0.0,0.0,0.0,0.0,842.0,5.0,-413.0,-1.0,0.0,1306.0,1306.0,2758.0,0.0,7958.0,0.0,0.0,55.0,13310.0,36.0,3.0,19.0,0.0,150.0
9,Red Side,LCS,2024,57096,Dignitas,False,31.367,Isles,SUPPORT,10.0,0.0,3.0,5.0,1.7,25.0,0.0,,0.8,6776.0,216.0,0.129,103.0,56.0,10.0,13.0,12.0,3.28,1.79,0.41,0.32,0.417,3129.0,640.0,2245.0,244.0,100.0,0.052,0.16,0.714,0.0,0.0,0.0,0.0,0.0,73.0,-4.0,296.0,0.0,0.0,0.0,0.0,318.0,0.0,13963.0,427.0,29.0,132.0,10557.0,75.0,15.0,33.0,0.0,0.0
0,Blue Side,LCS,2024,57097,Dignitas,False,25.367,Rich,TOP,13.0,0.0,6.0,2.0,0.3,172.0,1.0,,6.8,7919.0,312.0,0.2,17.0,8.0,3.0,0.0,0.0,0.67,0.32,0.0,0.12,0.09,14685.0,12190.0,2495.0,0.0,579.0,0.229,0.08,0.25,0.0,0.0,0.0,0.0,0.0,-896.0,-7.0,-1078.0,-1.0,0.0,950.0,950.0,5045.0,0.0,23211.0,0.0,15.0,48.0,28436.0,165.0,1.0,13.0,0.0,0.0
1,Blue Side,LCS,2024,57097,Dignitas,False,25.367,eXyu,JUNGLE,11.0,0.0,4.0,6.0,1.5,104.0,85.0,,4.1,6310.0,249.0,0.16,34.0,8.0,11.0,7.0,6.0,1.34,0.32,0.28,0.43,0.181,5604.0,602.0,4718.0,284.0,221.0,0.087,0.24,0.75,0.0,0.0,0.0,0.0,0.0,-525.0,-14.0,-33.0,0.0,0.0,0.0,0.0,6864.0,599.0,30344.0,0.0,30.0,285.0,20418.0,119.0,8.0,20.0,0.0,0.0
2,Blue Side,LCS,2024,57097,Dignitas,False,25.367,Dove,MID,14.0,3.0,4.0,2.0,1.3,185.0,8.0,,7.3,9102.0,359.0,0.23,25.0,7.0,5.0,5.0,5.0,0.99,0.28,0.2,0.2,0.133,12410.0,1359.0,10530.0,521.0,489.0,0.193,0.2,0.625,0.0,0.0,0.0,0.0,0.0,208.0,-20.0,-293.0,0.0,0.0,1681.0,1681.0,5112.0,0.0,18529.0,287.0,18.0,327.0,29250.0,132.0,6.0,21.0,0.0,200.0
3,Blue Side,LCS,2024,57097,Dignitas,False,25.367,Tomo,ADC,12.0,3.0,3.0,5.0,2.7,204.0,0.0,,8.0,9218.0,363.0,0.233,25.0,8.0,9.0,1.0,1.0,0.99,0.32,0.04,0.35,0.133,17673.0,11714.0,5740.0,219.0,697.0,0.275,0.32,1.0,0.0,0.0,0.0,0.0,0.0,-142.0,23.0,-23.0,0.0,0.0,1133.0,1133.0,1888.0,0.0,6877.0,0.0,33.0,255.0,10723.0,89.0,2.0,20.0,200.0,300.0
