Year,Split,Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,HERPG,HER%,DRA@15,TD@15,GD@15,PPG,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
2021,Summer,FlyQuest,S11,NA,27,29.6%,0.67,1661,-217,32:01,10.4,15.6,4.0,7.9,37.0,29.6,1.67,34.2,0.74,40.7,0.85,-0.7,-1597,-,0.44,24.0,31.3,1762,3.3,1.33,1.35
2021,Summer,Golden Guardians,S11,NA,27,40.7%,0.82,1744,-70,33:19,13.1,16.0,5.7,6.9,37.0,48.1,2.81,58.5,1.15,59.3,0.85,-0.1,-115,-,0.52,38.3,32.0,1992,3.0,1.27,1.63
2021,Summer,Immortals,S11,NA,27,48.1%,1.01,1758,-46,32:59,12.7,12.6,5.8,6.6,40.7,29.6,2.30,48.7,0.81,40.7,0.89,-0.2,-481,-,0.74,50.7,32.4,1860,3.7,1.34,1.36
2021,Summer,Team Liquid,S11,NA,27,55.6%,1.15,1810,77,34:16,13.3,11.6,6.6,5.3,40.7,70.4,2.33,50.0,0.93,48.1,0.96,0.4,644,-,0.67,54.7,33.5,2059,3.2,1.22,1.52
2021,Summer,TSM,S11,NA,27,66.7%,1.08,1785,55,32:40,12.1,11.2,7.4,5.2,59.3,59.3,2.74,56.6,1.11,57.4,0.96,0.3,113,-,0.93,67.9,32.3,1900,3.3,1.31,1.41
2021,Spring,100 Thieves,S11,NA,18,61.1%,0.95,1786,30,35:40,13.2,13.7,6.6,5.6,50.0,66.7,2.94,56.2,1.33,66.7,1.33,0.7,627,-,0.89,56.5,32.5,1828,3.3,1.32,1.53
2021,Spring,CLG,S11,NA,18,27.8%,0.81,1742,-99,36:24,12.4,15.3,5.8,7.7,88.9,44.4,2.39,45.8,0.56,33.3,0.94,-0.1,-339,-,0.78,44.4,32.9,1723,3.4,1.23,1.38
2021,Spring,Cloud9,S11,NA,18,72.2%,1.41,1903,198,31:15,15.8,11.1,7.1,4.3,66.7,61.1,2.39,56.7,1.06,55.6,0.83,0.2,1035,-,0.89,62.0,34.7,1874,3.2,1.22,1.43
2021,Spring,Dignitas,S11,NA,18,61.1%,1.15,1787,11,33:08,14.5,12.5,6.3,5.7,38.9,38.9,2.50,52.6,1.11,58.3,0.89,-0.3,-684,-,0.72,47.2,32.2,1831,2.9,1.32,1.54
2021,Spring,Evil Geniuses,S11,NA,18,55.6%,1.00,1772,17,35:48,14.9,14.9,6.6,5.4,38.9,55.6,3.22,64.0,0.78,38.9,1.11,-0.3,54,-,0.67,48.1,32.4,2058,3.3,1.18,1.51
2021,Spring,FlyQuest,S11,NA,18,33.3%,0.89,1725,-122,33:41,12.2,13.8,4.1,7.7,50.0,27.8,2.28,46.7,0.61,30.6,0.89,-0.4,-929,-,0.39,34.4,33.0,1781,3.3,1.29,1.50
2021,Spring,Golden Guardians,S11,NA,18,16.7%,0.46,1629,-269,34:57,7.5,16.3,3.3,8.4,27.8,27.8,2.06,34.6,0.50,27.8,0.56,-0.7,-956,-,0.61,24.5,32.5,1610,3.4,1.35,1.51
2021,Spring,Immortals,S11,NA,18,38.9%,0.99,1710,-87,32:41,10.2,10.3,4.4,6.7,38.9,27.8,1.44,28.7,0.94,47.2,0.39,-0.4,-1032,-,0.50,40.2,33.2,1611,3.6,1.26,1.45
2021,Spring,Team Liquid,S11,NA,18,66.7%,1.52,1866,201,32:09,13.6,8.9,7.6,3.8,66.7,88.9,2.78,65.7,1.56,77.8,1.28,1.1,2096,-,0.83,66.7,34.4,1825,3.2,1.15,1.60
2021,Spring,TSM,S11,NA,18,66.7%,1.23,1838,122,33:53,13.2,10.8,8.1,4.3,33.3,61.1,2.28,49.1,1.22,63.9,0.72,0.3,128,-,1.06,72.2,33.8,1781,3.6,1.30,1.52
2020,Summer,100 Thieves,S10,NA,18,38.9%,0.98,1767,1,33:24,11.6,11.9,5.8,6.6,50.0,66.7,2.61,52.9,1.06,61.1,1.17,0.4,-139,-,0.72,50.0,33.3,1976,3.0,1.23,1.35
