Link,Region,Year
https://gol.gg/game/stats/50767/page-game/,LEC,2023
https://gol.gg/game/stats/50766/page-game/,LEC,2023
https://gol.gg/game/stats/50766/page-game/,LEC,2023
https://gol.gg/game/stats/50765/page-game/,LEC,2023
https://gol.gg/game/stats/50765/page-game/,LEC,2023
https://gol.gg/game/stats/50764/page-game/,LEC,2023
https://gol.gg/game/stats/50764/page-game/,LEC,2023
https://gol.gg/game/stats/50763/page-game/,LEC,2023
https://gol.gg/game/stats/50763/page-game/,LEC,2023
https://gol.gg/game/stats/50762/page-game/,LEC,2023
https://gol.gg/game/stats/50762/page-game/,LEC,2023
https://gol.gg/game/stats/50761/page-game/,LEC,2023
https://gol.gg/game/stats/50761/page-game/,LEC,2023
https://gol.gg/game/stats/50760/page-game/,LEC,2023
https://gol.gg/game/stats/50760/page-game/,LEC,2023
https://gol.gg/game/stats/50759/page-game/,LEC,2023
https://gol.gg/game/stats/50759/page-game/,LEC,2023
https://gol.gg/game/stats/50758/page-game/,LEC,2023
https://gol.gg/game/stats/50758/page-game/,LEC,2023
https://gol.gg/game/stats/50757/page-game/,LEC,2023
https://gol.gg/game/stats/50757/page-game/,LEC,2023
https://gol.gg/game/stats/50756/page-game/,LEC,2023
https://gol.gg/game/stats/50756/page-game/,LEC,2023
https://gol.gg/game/stats/50755/page-game/,LEC,2023
https://gol.gg/game/stats/50755/page-game/,LEC,2023
https://gol.gg/game/stats/50754/page-game/,LEC,2023
https://gol.gg/game/stats/50754/page-game/,LEC,2023
https://gol.gg/game/stats/50753/page-game/,LEC,2023
https://gol.gg/game/stats/50753/page-game/,LEC,2023
https://gol.gg/game/stats/50351/page-game/,LEC,2023
https://gol.gg/game/stats/50351/page-game/,LEC,2023
https://gol.gg/game/stats/50350/page-game/,LEC,2023
https://gol.gg/game/stats/50350/page-game/,LEC,2023
https://gol.gg/game/stats/50349/page-game/,LEC,2023
https://gol.gg/game/stats/50349/page-game/,LEC,2023
https://gol.gg/game/stats/50348/page-game/,LEC,2023
https://gol.gg/game/stats/50348/page-game/,LEC,2023
https://gol.gg/game/stats/50347/page-game/,LEC,2023
https://gol.gg/game/stats/50347/page-game/,LEC,2023
https://gol.gg/game/stats/50346/page-game/,LEC,2023
https://gol.gg/game/stats/50346/page-game/,LEC,2023
https://gol.gg/game/stats/50345/page-game/,LEC,2023
https://gol.gg/game/stats/50345/page-game/,LEC,2023
https://gol.gg/game/stats/50344/page-game/,LEC,2023
https://gol.gg/game/stats/50344/page-game/,LEC,2023
https://gol.gg/game/stats/50343/page-game/,LEC,2023
https://gol.gg/game/stats/50343/page-game/,LEC,2023
https://gol.gg/game/stats/50342/page-game/,LEC,2023
https://gol.gg/game/stats/50342/page-game/,LEC,2023
https://gol.gg/game/stats/50341/page-game/,LEC,2023
https://gol.gg/game/stats/50341/page-game/,LEC,2023
https://gol.gg/game/stats/50340/page-game/,LEC,2023
https://gol.gg/game/stats/50340/page-game/,LEC,2023
https://gol.gg/game/stats/50339/page-game/,LEC,2023
https://gol.gg/game/stats/50339/page-game/,LEC,2023
https://gol.gg/game/stats/50338/page-game/,LEC,2023
https://gol.gg/game/stats/50338/page-game/,LEC,2023
https://gol.gg/game/stats/50337/page-game/,LEC,2023
https://gol.gg/game/stats/50337/page-game/,LEC,2023
https://gol.gg/game/stats/49939/page-game/,LEC,2023
https://gol.gg/game/stats/49939/page-game/,LEC,2023
https://gol.gg/game/stats/49938/page-game/,LEC,2023
https://gol.gg/game/stats/49938/page-game/,LEC,2023
https://gol.gg/game/stats/49937/page-game/,LEC,2023
https://gol.gg/game/stats/49937/page-game/,LEC,2023
https://gol.gg/game/stats/49936/page-game/,LEC,2023
https://gol.gg/game/stats/49936/page-game/,LEC,2023
https://gol.gg/game/stats/49935/page-game/,LEC,2023
https://gol.gg/game/stats/49935/page-game/,LEC,2023
https://gol.gg/game/stats/49934/page-game/,LEC,2023
https://gol.gg/game/stats/49934/page-game/,LEC,2023
https://gol.gg/game/stats/49933/page-game/,LEC,2023
https://gol.gg/game/stats/49933/page-game/,LEC,2023
https://gol.gg/game/stats/49932/page-game/,LEC,2023
https://gol.gg/game/stats/49932/page-game/,LEC,2023
https://gol.gg/game/stats/49931/page-game/,LEC,2023
https://gol.gg/game/stats/49931/page-game/,LEC,2023
https://gol.gg/game/stats/49930/page-game/,LEC,2023
https://gol.gg/game/stats/49930/page-game/,LEC,2023
https://gol.gg/game/stats/49929/page-game/,LEC,2023
https://gol.gg/game/stats/49929/page-game/,LEC,2023
https://gol.gg/game/stats/49928/page-game/,LEC,2023
https://gol.gg/game/stats/49928/page-game/,LEC,2023
https://gol.gg/game/stats/49927/page-game/,LEC,2023
https://gol.gg/game/stats/49927/page-game/,LEC,2023
https://gol.gg/game/stats/49926/page-game/,LEC,2023
https://gol.gg/game/stats/49926/page-game/,LEC,2023
https://gol.gg/game/stats/49925/page-game/,LEC,2023
https://gol.gg/game/stats/49925/page-game/,LEC,2023
https://gol.gg/game/stats/48958/page-game/,LEC,2023
https://gol.gg/game/stats/48959/page-game/,LEC,2023
https://gol.gg/game/stats/48960/page-game/,LEC,2023
https://gol.gg/game/stats/48961/page-game/,LEC,2023
https://gol.gg/game/stats/48962/page-game/,LEC,2023
https://gol.gg/game/stats/48954/page-game/,LEC,2023
https://gol.gg/game/stats/48955/page-game/,LEC,2023
https://gol.gg/game/stats/48956/page-game/,LEC,2023
https://gol.gg/game/stats/48957/page-game/,LEC,2023
https://gol.gg/game/stats/48936/page-game/,LEC,2023
https://gol.gg/game/stats/48937/page-game/,LEC,2023
https://gol.gg/game/stats/48938/page-game/,LEC,2023
https://gol.gg/game/stats/48939/page-game/,LEC,2023
https://gol.gg/game/stats/48940/page-game/,LEC,2023
https://gol.gg/game/stats/48933/page-game/,LEC,2023
https://gol.gg/game/stats/48934/page-game/,LEC,2023
https://gol.gg/game/stats/48935/page-game/,LEC,2023
https://gol.gg/game/stats/48930/page-game/,LEC,2023
https://gol.gg/game/stats/48931/page-game/,LEC,2023
https://gol.gg/game/stats/48932/page-game/,LEC,2023
https://gol.gg/game/stats/48927/page-game/,LEC,2023
https://gol.gg/game/stats/48928/page-game/,LEC,2023
https://gol.gg/game/stats/48788/page-game/,LEC,2023
https://gol.gg/game/stats/48789/page-game/,LEC,2023
https://gol.gg/game/stats/48785/page-game/,LEC,2023
https://gol.gg/game/stats/48786/page-game/,LEC,2023
https://gol.gg/game/stats/48787/page-game/,LEC,2023
https://gol.gg/game/stats/48782/page-game/,LEC,2023
https://gol.gg/game/stats/48783/page-game/,LEC,2023
https://gol.gg/game/stats/48779/page-game/,LEC,2023
https://gol.gg/game/stats/48780/page-game/,LEC,2023
https://gol.gg/game/stats/48444/page-game/,LEC,2023
https://gol.gg/game/stats/48445/page-game/,LEC,2023
https://gol.gg/game/stats/48446/page-game/,LEC,2023
https://gol.gg/game/stats/48441/page-game/,LEC,2023
https://gol.gg/game/stats/48442/page-game/,LEC,2023
https://gol.gg/game/stats/48438/page-game/,LEC,2023
https://gol.gg/game/stats/48439/page-game/,LEC,2023
https://gol.gg/game/stats/48435/page-game/,LEC,2023
https://gol.gg/game/stats/48436/page-game/,LEC,2023
https://gol.gg/game/stats/48437/page-game/,LEC,2023
https://gol.gg/game/stats/48429/page-game/,LEC,2023
https://gol.gg/game/stats/48429/page-game/,LEC,2023
https://gol.gg/game/stats/48184/page-game/,LEC,2023
https://gol.gg/game/stats/48184/page-game/,LEC,2023
https://gol.gg/game/stats/48183/page-game/,LEC,2023
https://gol.gg/game/stats/48183/page-game/,LEC,2023
https://gol.gg/game/stats/48182/page-game/,LEC,2023
https://gol.gg/game/stats/48182/page-game/,LEC,2023
https://gol.gg/game/stats/48181/page-game/,LEC,2023
https://gol.gg/game/stats/48181/page-game/,LEC,2023
https://gol.gg/game/stats/48180/page-game/,LEC,2023
https://gol.gg/game/stats/48180/page-game/,LEC,2023
https://gol.gg/game/stats/48179/page-game/,LEC,2023
https://gol.gg/game/stats/48179/page-game/,LEC,2023
https://gol.gg/game/stats/48178/page-game/,LEC,2023
https://gol.gg/game/stats/48178/page-game/,LEC,2023
https://gol.gg/game/stats/48177/page-game/,LEC,2023
https://gol.gg/game/stats/48177/page-game/,LEC,2023
https://gol.gg/game/stats/48176/page-game/,LEC,2023
https://gol.gg/game/stats/48176/page-game/,LEC,2023
https://gol.gg/game/stats/48175/page-game/,LEC,2023
https://gol.gg/game/stats/48175/page-game/,LEC,2023
https://gol.gg/game/stats/48174/page-game/,LEC,2023
https://gol.gg/game/stats/48174/page-game/,LEC,2023
https://gol.gg/game/stats/48173/page-game/,LEC,2023
https://gol.gg/game/stats/48173/page-game/,LEC,2023
https://gol.gg/game/stats/48172/page-game/,LEC,2023
https://gol.gg/game/stats/48172/page-game/,LEC,2023
https://gol.gg/game/stats/48171/page-game/,LEC,2023
https://gol.gg/game/stats/48171/page-game/,LEC,2023
https://gol.gg/game/stats/48170/page-game/,LEC,2023
