Player,Year,Split,Record:,Win Rate:,KDA:,CS per Minute:,Gold Per Minute:,Gold%:,Kill Participation:
Lehends,2022,Summer,35W - 5L,87.5%,5.6,1.3,254,12.9%,71.1%
Life,2022,Summer,25W - 20L,55.6%,4.3,1,240,13.2%,78.6%
Moham,2022,Summer,5W - 13L,27.8%,2.2,2.1,241,14.1%,67.9%
Morgan,2022,Summer,11W - 25L,30.6%,2.3,8.3,387,22.4%,57%
Nuguri,2022,Summer,24W - 17L,58.5%,3.2,8,392,21.6%,56.7%
OnFleek,2022,Summer,12W - 31L,27.9%,1.7,5.4,312,18.6%,68.8%
Oner,2022,Summer,31W - 13L,70.5%,4.4,5.9,355,18.8%,73.6%
Peanut,2022,Summer,35W - 5L,87.5%,5.8,5.8,355,18%,66.6%
Peter,2022,Summer,0W - 1L,0%,2.0,0.2,186,12.2%,66.7%
Prince,2022,Summer,27W - 14L,65.9%,6.2,10.3,483,26.2%,68.1%
Pyosik,2022,Summer,21W - 21L,50%,3.6,5.4,328,18.5%,71.6%
Raptor,2022,Summer,1W - 2L,33.3%,1.7,5,292,17.3%,67.3%
Rascal,2022,Summer,25W - 20L,55.6%,3.4,8.3,394,21.7%,63.9%
Ruler,2022,Summer,35W - 5L,87.5%,7.6,9.5,482,24.4%,71.2%
ShowMaker,2022,Summer,24W - 17L,58.5%,6.0,8.8,402,22.3%,67%
SnowFlower,2022,Summer,8W - 11L,42.1%,3.1,1,227,13.1%,70.7%
Sw0rd,2022,Summer,0W - 6L,0%,1.2,8.3,404,24.3%,49.9%
Sylvie,2022,Summer,0W - 4L,0%,1.9,5.1,309,19.4%,92.5%
Teddy,2022,Summer,13W - 29L,31%,3.2,8.5,406,24.1%,73.8%
UmTi,2022,Summer,10W - 29L,25.6%,2.4,5.1,301,17.6%,75%
Vicla,2022,Summer,22W - 14L,61.1%,4.0,8.8,401,22%,68.1%
Vsta,2022,Summer,12W - 34L,26.1%,1.9,1.1,221,13.2%,67.3%
Willer,2022,Summer,0W - 3L,0%,1.0,5.1,278,17.9%,57.9%
Zeka,2022,Summer,22W - 23L,48.9%,4.3,9.2,414,23.3%,71.3%
Zeus,2022,Summer,31W - 13L,70.5%,3.2,8.1,414,22%,65.6%
deokdam,2022,Summer,24W - 17L,58.5%,4.9,9.1,439,24.3%,73.5%
kingen,2022,Summer,22W - 23L,48.9%,3.1,7.7,371,21%,63%
Aiming,2022,Spring,19W - 24L,44.2%,3.9,10,453,25.3%,68.3%
Aria,2022,Spring,12W - 17L,41.4%,3.3,8,369,21.1%,57.6%
Baut,2022,Spring,1W - 4L,20%,2.1,1.1,222,12.9%,61.4%
Bdd,2022,Spring,15W - 25L,37.5%,3.2,8.4,376,21.7%,60.7%
BeryL,2022,Spring,21W - 19L,52.5%,2.4,1.2,232,13.2%,72.6%
Blessing,2022,Spring,0W - 1L,0%,1.5,1,208,11.6%,81.8%
Burdol,2022,Spring,24W - 12L,66.7%,3.0,8,375,21%,53.7%
Canna,2022,Spring,16W - 25L,39%,2.6,8.7,405,23.3%,55.9%
Canyon,2022,Spring,27W - 15L,64.3%,4.3,5.9,342,19.1%,71.8%
Cheoni,2022,Spring,0W - 4L,0%,2.1,9.8,413,24.5%,58.6%
Chovy,2022,Spring,24W - 10L,70.6%,7.1,9.6,447,23.6%,69%
Clear,2022,Spring,1W - 0L,100%,1.2,7.5,352,19.1%,46.2%
Clozer,2022,Spring,11W - 26L,29.7%,2.0,8.8,385,22.8%,67.4%
Croco,2022,Spring,11W - 26L,29.7%,2.5,5.7,325,19.3%,78.3%
Cuzz,2022,Spring,18W - 22L,45%,3.5,5.6,326,18.3%,64.4%
Deft,2022,Spring,22W - 18L,55%,4.1,9.6,438,24.7%,71%
Delight,2022,Spring,21W - 21L,50%,2.9,1.2,232,13.2%,72.7%
DnDn,2022,Spring,0W - 2L,0%,0.6,8.2,332,21.6%,50%
Doran,2022,Spring,26W - 10L,72.2%,3.3,8.6,418,22.1%,60%
Dove,2022,Spring,11W - 26L,29.7%,1.5,7.8,360,21.3%,53.6%
Dread,2022,Spring,16W - 29L,35.6%,2.7,5.6,325,18.7%,68.8%
DuDu,2022,Spring,12W - 31L,27.9%,1.8,7.9,364,21.4%,54.9%
Effort,2022,Spring,4W - 10L,28.6%,1.6,1,214,12.5%,59.2%
Ellim,2022,Spring,20W - 22L,47.6%,3.0,4.6,300,17.2%,64.2%
Envyy,2022,Spring,2W - 7L,22.2%,1.9,9.2,386,23.5%,57.1%
FATE,2022,Spring,20W - 22L,47.6%,5.4,8.6,391,22.5%,67.1%
FIESTA,2022,Spring,1W - 4L,20%,1.1,8.3,349,20.9%,55.3%
Faker,2022,Spring,36W - 7L,83.7%,4.9,8.4,413,21.4%,58.8%
Feisty,2022,Spring,0W - 2L,0%,1.2,8.2,348,23.2%,75%
GIDEON,2022,Spring,1W - 2L,33.3%,2.3,5.8,325,18.8%,50.5%
Gamin,2022,Spring,0W - 2L,0%,0.4,8.1,350,23.3%,37.5%
Ghost,2022,Spring,16W - 28L,36.4%,2.5,8.4,388,22.4%,56.4%
Gumayusi,2022,Spring,36W - 7L,83.7%,5.5,10.1,483,25%,67.4%
Guwon,2022,Spring,0W - 2L,0%,3.2,5.3,325,19.6%,84.5%
HamBak,2022,Spring,0W - 4L,0%,1.7,5.4,310,19.6%,90.8%
Hans SamD,2022,Spring,12W - 27L,30.8%,3.6,10.1,434,25.5%,67.8%
Hena,2022,Spring,21W - 21L,50%,4.7,9.5,428,24.3%,68.6%
Hoit,2022,Spring,20W - 22L,47.6%,3.2,1.1,229,13.1%,62%
Howling,2022,Spring,0W - 4L,0%,0.8,7.9,332,20.9%,34.5%
Hoya,2022,Spring,3W - 3L,50%,1.5,6.9,348,19.4%,45.5%
Ice,2022,Spring,9W - 23L,28.1%,2.2,9.4,402,23.9%,53.7%
Jun,2022,Spring,1W - 0L,100%,11.0,0.8,269,14.6%,84.6%
Kael,2022,Spring,11W - 28L,28.2%,1.6,1.2,219,13.1%,67.2%
Karis,2022,Spring,12W - 31L,27.9%,3.0,7.9,360,21.2%,67.9%
