Year,Split,Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,HERPG,HER%,DRA@15,TD@15,GD@15,PPG,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
2021,Summer,Royal Never Give Up,S11,CN,39,64.1%,1.20,1874,120,31:33,15.3,12.7,7.1,4.5,71.8,74.4,2.21,50.2,-,-,-,-,-,-,0.85,65.6,33.3,2098,3.4,1.35,1.65
2021,Summer,Suning,S11,CN,42,57.1%,1.29,1813,95,32:42,13.4,10.4,6.2,5.1,52.4,40.5,2.26,49.6,0.00,-,0.00,0.0,-,-,0.57,50.7,33.8,1873,4.0,1.44,1.69
2021,Summer,Team WE,S11,CN,40,57.5%,1.13,1806,58,32:08,15.2,13.4,6.7,5.2,40.0,67.5,2.23,49.1,-,-,-,-,0,-,0.60,57.1,32.0,2104,3.2,1.39,1.61
2021,Summer,Top Esports,S11,CN,38,60.5%,1.26,1876,143,31:39,15.7,12.4,7.2,4.8,50.0,65.8,2.47,59.5,-,-,-,-,0,-,0.84,63.3,33.4,2213,3.1,1.40,1.57
2021,Summer,TT,S11,CN,36,22.2%,0.62,1676,-231,30:39,10.3,16.4,4.1,7.9,55.6,58.3,1.86,43.5,-,-,-,-,0,-,0.36,30.0,31.3,1851,3.2,1.19,1.42
2021,Summer,Ultra Prime,S11,CN,39,33.3%,0.75,1737,-142,30:43,11.7,15.6,4.7,6.9,43.6,46.2,1.95,43.5,-,-,-,-,0,-,0.51,35.1,32.6,1873,3.3,1.37,1.51
2021,Summer,Victory Five,S11,CN,35,8.6%,0.49,1590,-347,30:36,7.7,15.7,2.3,8.7,60.0,25.7,1.31,28.1,-,-,-,-,-,-,0.20,13.2,31.3,1575,3.2,1.36,1.36
2021,Spring,Bilibili Gaming,S11,CN,38,42.1%,0.81,1770,-69,31:14,11.5,14.3,5.4,6.4,39.5,42.1,2.13,46.9,0.61,32.4,0.79,-0.2,-805,-,0.68,47.8,33.5,1906,3.4,1.30,1.51
2021,Spring,Edward Gaming,S11,CN,36,77.8%,1.67,1877,192,31:48,14.7,8.8,7.3,3.9,61.1,61.1,2.92,64.3,1.06,54.2,1.00,-0.1,664,-,0.81,64.8,34.6,1911,3.2,1.27,1.69
2021,Spring,Funplus Phoenix,S11,CN,35,68.6%,1.30,1960,209,28:56,16.2,12.5,7.3,3.7,57.1,65.7,2.09,52.6,1.20,60.0,0.63,0.5,1628,-,0.91,70.5,34.5,2241,3.2,1.27,1.42
2021,Spring,Invictus Gaming,S11,CN,36,58.3%,1.16,1845,83,28:58,15.0,12.8,6.1,4.8,55.6,44.4,2.61,64.0,0.86,43.1,1.08,-0.1,627,-,0.75,65.6,33.2,2131,3.2,1.39,1.56
2021,Spring,JD Gaming,S11,CN,33,72.7%,1.23,1879,119,31:08,15.7,12.7,6.7,4.2,42.4,45.5,2.61,57.2,0.91,48.4,0.79,-0.2,775,-,0.70,53.8,34.3,2151,3.5,1.18,1.61
2021,Spring,LGD Gaming,S11,CN,37,29.7%,0.72,1705,-192,30:34,10.6,14.8,4.4,7.6,35.1,27.0,1.95,41.9,0.70,37.5,0.78,-0.4,-1984,-,0.43,30.6,32.3,1755,3.1,1.22,1.54
2021,Spring,LNG Esports,S11,CN,35,45.7%,1.01,1788,-11,30:40,11.4,11.3,5.5,6.1,51.4,60.0,2.06,47.7,0.89,50.0,0.69,0.0,12,-,0.49,45.6,33.9,1740,3.5,1.19,1.52
2021,Spring,OMG,S11,CN,39,28.2%,0.68,1686,-210,30:23,10.3,15.2,3.8,7.1,43.6,35.9,1.92,44.1,0.90,44.9,0.95,-0.3,-1822,-,0.54,38.3,32.2,1745,3.3,1.27,1.42
2021,Spring,Rare Atom,S11,CN,36,58.3%,1.02,1823,61,33:01,13.1,12.9,6.2,5.2,52.8,47.2,2.42,49.0,0.86,44.3,0.75,0.0,414,-,0.83,60.1,34.8,2044,3.5,1.07,1.79
2021,Spring,Rogue Warriors,S11,CN,34,8.8%,0.50,1611,-357,30:16,8.6,17.3,2.4,8.8,26.5,29.4,1.50,32.3,0.97,50.0,0.65,-0.2,-1613,-,0.26,17.6,31.2,1606,3.2,1.25,1.43
2021,Spring,Royal Never Give Up,S11,CN,37,78.4%,1.54,1909,206,32:05,16.1,10.5,7.9,3.6,56.8,56.8,2.84,61.5,0.95,48.6,0.97,0.1,757,-,1.14,72.4,34.1,1982,3.7,1.29,1.75
2021,Spring,Suning,S11,CN,33,63.6%,1.45,1851,138,32:15,14.6,10.0,6.0,4.6,57.6,42.4,2.52,55.7,1.06,56.3,0.73,-0.1,454,-,0.76,62.5,34.3,2065,3.8,1.39,1.76
2021,Spring,Team WE,S11,CN,36,61.1%,1.18,1861,117,30:04,14.2,12.0,6.5,4.6,44.4,58.3,2.42,55.4,1.14,58.3,1.03,0.3,994,-,0.72,58.6,34.1,1910,3.2,1.30,1.65
2021,Spring,Top Esports,S11,CN,35,71.4%,1.58,1934,244,29:59,16.7,10.5,7.8,3.8,60.0,80.0,2.26,56.0,1.31,67.6,0.74,0.5,2616,-,0.91,71.7,34.2,2204,3.1,1.28,1.67
2021,Spring,TT,S11,CN,38,31.6%,0.71,1739,-156,30:59,11.2,15.7,4.4,6.9,39.5,50.0,2.08,45.2,1.11,56.8,1.05,0.0,-1220,-,0.63,35.1,32.8,1776,3.3,1.36,1.50
2021,Spring,Ultra Prime,S11,CN,36,19.4%,0.67,1692,-240,30:16,10.4,15.5,3.4,7.8,63.9,33.3,1.69,39.5,0.78,40.0,0.64,-0.2,-1013,-,0.19,17.6,32.6,1738,3.4,1.44,1.54
2021,Spring,Victory Five,S11,CN,38,39.5%,0.85,1757,-86,29:51,12.0,14.2,5.3,6.4,47.4,55.3,1.61,38.6,1.13,59.5,0.47,0.3,-76,-,0.55,41.9,32.7,1896,3.1,1.11,1.40
2020,Summer,Bilibili Gaming,S10,CN,39,43.6%,0.84,1722,-63,33:08,11.4,13.5,5.2,6.6,48.7,53.8,2.10,41.9,1.00,51.3,0.74,0.1,87,-,0.49,36.2,32.0,1938,3.5,1.29,1.53
2020,Summer,Dominus Esports,S10,CN,36,16.7%,0.60,1674,-220,32:16,10.2,17.1,4.1,8.3,41.7,33.3,2.11,42.2,0.64,37.5,0.86,-0.3,-1330,-,0.33,22.7,31.2,1707,3.2,1.18,1.51
2020,Summer,Edward Gaming,S10,CN,38,52.6%,1.23,1786,41,33:58,14.6,11.7,6.6,5.7,57.9,50.0,2.47,47.6,1.21,60.5,0.84,0.0,143,-,0.74,53.7,31.7,1797,3.4,1.42,1.54
2020,Summer,eStar,S10,CN,40,32.5%,0.76,1734,-108,32:01,11.9,15.6,5.4,6.8,62.5,65.0,2.35,51.1,0.98,50.0,0.88,0.2,124,-,0.45,32.9,31.7,1862,3.7,1.48,1.59
2020,Summer,Funplus Phoenix,S10,CN,41,53.7%,1.02,1765,-16,32:14,13.6,13.3,6.1,6.0,56.1,36.6,2.63,54.0,1.02,52.5,1.02,0.0,-439,-,0.56,45.1,31.5,1949,3.4,1.48,1.51
2020,Summer,Invictus Gaming,S10,CN,41,63.4%,1.06,1847,113,30:15,14.5,13.6,6.7,5.0,39.0,56.1,2.41,55.0,0.90,46.3,0.90,-0.1,440,-,0.73,60.4,32.3,2237,3.1,1.21,1.45
2020,Summer,JD Gaming,S10,CN,39,71.8%,1.45,1867,159,31:34,15.5,10.7,7.2,4.7,46.2,41.0,2.44,54.6,0.77,40.5,0.72,0.0,245,-,0.79,67.6,33.5,2013,3.4,1.17,1.55
2020,Summer,LGD Gaming,S10,CN,40,55.0%,1.09,1771,23,33:31,12.6,11.5,6.3,5.8,45.0,55.0,2.58,52.0,0.70,36.8,0.78,-0.1,82,-,0.68,58.1,32.3,1823,3.2,1.21,1.71
2020,Summer,LNG Esports,S10,CN,36,36.1%,0.82,1714,-84,31:20,10.3,12.5,4.8,6.9,38.9,36.1,2.14,44.7,0.92,48.6,0.78,-0.2,-707,-,0.58,45.6,32.2,1898,3.2,1.12,1.50
2020,Summer,OMG,S10,CN,41,36.6%,0.79,1733,-95,32:39,12.1,15.2,5.0,7.0,48.8,29.3,2.22,46.3,0.93,48.8,0.85,-0.3,-619,-,0.51,38.2,32.2,1831,3.3,1.26,1.42
2020,Summer,Rogue Warriors,S10,CN,36,30.6%,0.73,1660,-193,32:11,11.6,15.9,4.8,7.7,52.8,38.9,2.03,39.3,1.14,60.3,0.92,-0.1,-1493,-,0.42,32.8,29.9,1762,3.0,1.12,1.53
2020,Summer,Royal Never Give Up,S10,CN,39,53.8%,1.17,1791,30,32:05,13.4,11.4,6.0,5.5,64.1,48.7,2.41,52.4,0.85,45.8,1.05,-0.1,927,-,0.59,48.0,32.4,1803,3.5,1.31,1.60
2020,Summer,Suning,S10,CN,42,59.5%,1.10,1786,75,33:07,13.1,11.9,6.9,5.2,40.5,52.4,2.45,49.4,0.95,50.0,0.74,0.0,194,-,0.93,65.0,31.9,1991,3.7,1.32,1.56
2020,Summer,Team WE,S10,CN,43,55.8%,1.08,1779,30,33:10,13.6,12.6,5.9,5.6,41.9,53.5,2.67,55.6,0.98,52.4,1.02,0.2,-198,-,0.65,53.4,32.2,1882,3.2,1.35,1.75
2020,Summer,Top Esports,S10,CN,37,73.0%,1.39,1877,180,32:03,16.3,11.7,7.7,4.5,48.6,51.4,2.57,54.5,1.05,55.7,0.95,0.1,772,-,0.86,70.6,32.8,2139,3.2,1.30,1.69
2020,Summer,Vici Gaming,S10,CN,41,46.3%,1.01,1755,2,32:32,12.3,12.1,5.5,5.8,43.9,58.5,2.46,50.6,1.15,58.8,0.98,0.2,565,-,0.46,48.0,32.8,1867,3.5,1.38,1.64
2020,Summer,Victory Five,S10,CN,41,63.4%,1.26,1805,87,29:42,12.7,10.1,6.5,4.5,46.3,56.1,2.46,56.0,1.05,52.4,0.95,0.1,823,-,0.68,64.5,32.5,1762,3.3,1.29,1.53
2020,Spring,Bilibili Gaming,S10,CN,42,47.6%,0.94,1718,-1,33:53,11.7,12.5,6.2,5.7,-,-,2.45,49.7,-,-,-,-,0,-,0.74,51.3,30.9,1875,3.6,1.31,1.75
2020,Spring,Dominus Esports,S10,CN,35,40.0%,0.92,1737,-47,32:16,12.1,13.1,5.8,6.8,-,-,2.40,51.8,-,-,-,-,0,-,0.60,40.4,31.8,1713,3.1,1.24,1.55
2020,Spring,Edward Gaming,S10,CN,41,56.1%,1.29,1744,55,33:33,13.8,10.7,6.3,5.4,-,-,2.44,50.4,-,-,-,-,0,-,0.66,51.4,30.7,1680,3.4,1.52,1.60
