Team,Year,Split,Role,Player
100 Thieves,2022,Spring,MID,Abbedagge
100 Thieves,2022,Spring,BOT,FBI
100 Thieves,2022,Spring,SUPPORT,Huhi
100 Thieves,2022,Spring,BOT,Huhi
100 Thieves,2022,Spring,SUPPORT,FBI
CLG,2022,Spring,TOP,Dhokla
CLG,2022,Spring,JUNGLE,RoseThorn
CLG,2022,Spring,MID,Triple
CLG,2022,Spring,BOT,Prismal
CLG,2022,Spring,SUPPORT,Breezy
CLG,2022,Spring,TOP,Jenkins
CLG,2022,Spring,JUNGLE,Contractz
CLG,2022,Spring,MID,Palafox
CLG,2022,Spring,BOT,Luger
CLG,2022,Spring,SUPPORT,Poome
Cloud9,2022,Spring,TOP,Summit
Cloud9,2022,Spring,JUNGLE,Blaber
Cloud9,2022,Spring,MID,Fudge
Cloud9,2022,Spring,BOT,Berserker
Cloud9,2022,Spring,SUPPORT,Winsome
Dignitas,2022,Spring,TOP,FakeGod
Dignitas,2022,Spring,JUNGLE,River
Dignitas,2022,Spring,MID,Blue
Dignitas,2022,Spring,BOT,Neo
Dignitas,2022,Spring,SUPPORT,Biofrost
Evil Geniuses,2022,Spring,TOP,Impact
Evil Geniuses,2022,Spring,JUNGLE,Inspired
Evil Geniuses,2022,Spring,MID,jojopyun
Evil Geniuses,2022,Spring,BOT,Danny
Evil Geniuses,2022,Spring,SUPPORT,Vulcan
FlyQuest,2022,Spring,TOP,Kumo
FlyQuest,2022,Spring,JUNGLE,Josedeodo
FlyQuest,2022,Spring,MID,Toucouille
FlyQuest,2022,Spring,BOT,Johnsun
FlyQuest,2022,Spring,SUPPORT,Aphromoo
FlyQuest,2022,Spring,BOT,Aphromoo
FlyQuest,2022,Spring,SUPPORT,Johnsun
Golden Guardians,2022,Spring,TOP,Licorice
Golden Guardians,2022,Spring,JUNGLE,Pridestalkr
Golden Guardians,2022,Spring,MID,Ablazeolive
Golden Guardians,2022,Spring,BOT,Lost
Golden Guardians,2022,Spring,SUPPORT,Olleh
Immortals,2022,Spring,TOP,Revenge
Immortals,2022,Spring,JUNGLE,Chad
Immortals,2022,Spring,MID,PowerOfEvil
Immortals,2022,Spring,BOT,Arrow
Immortals,2022,Spring,SUPPORT,Destiny
Immortals,2022,Spring,JUNGLE,Xerxe
Immortals,2022,Spring,BOT,WildTurtle
Immortals,2022,Spring,SUPPORT,Joey
Team Liquid,2022,Spring,TOP,Bwipo
Team Liquid,2022,Spring,JUNGLE,Santorin
Team Liquid,2022,Spring,MID,Bjergsen
Team Liquid,2022,Spring,BOT,Hans sama
Team Liquid,2022,Spring,SUPPORT,CoreJJ
Team Liquid,2022,Spring,SUPPORT,Eyla
